dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,3,0.30188631833185403,0.07129943062897338,0.15723412782749682,0.1440579874564847,0.13533434784460394,0.13618054306023136,0.11049246565243395,0.09962178024304078,4.209,1.9953195985356083,0.08418,0.039906391970712184,50.0,0.0,0,0
ten_percent,5,0.2722218417968935,0.05829349444398616,0.16979488748963306,0.14048060366843632,0.13686973525760765,0.13557137003970565,0.12025575781782422,0.0967822754658765,5.492,2.5780966976788484,0.10984000000000001,0.05156193395357697,50.0,0.0,0,0
sqrt,7,0.26340174105990716,0.05168318329908071,0.17480736026860877,0.14224551194270768,0.13746065854208958,0.13681013368143952,0.12380898506619743,0.09857922074308131,5.918,2.8571733303108227,0.11835999999999999,0.05714346660621648,50.0,0.0,0,0
half,25,0.2625945352550029,0.04840442312377169,0.18040059303231318,0.14079038023886717,0.13864464707144503,0.1375774814609195,0.1281324451621942,0.09690774020271432,5.474,2.829015257528195,0.10964159863945577,0.056662643404626546,49.926,0.2767681350889236,0,0
original,50,0.08077308688241491,0.012682440295855552,-0.006034264482776973,0.13897802263021156,-0.007860604683738058,0.13582749062682695,-0.004987552559956871,0.11460123119850539,49.474,0.7535860215608402,0.9923382993197278,0.013033743461526043,49.856,0.38654031279209883,695,695
