dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,2,0.21403213872080865,0.14996495398920595,0.06664301349271366,0.10273383491428205,0.06497169091902208,0.10445952219038003,0.045534231315547444,0.07021595133926993,9.269,4.305249606489053,0.046345,0.021526248032445277,200.0,0.0,0,0
ten_percent,2,0.21403213872080865,0.14996495398920595,0.06664301349271366,0.10273383491428205,0.06497169091902208,0.10445952219038003,0.045534231315547444,0.07021595133926993,9.269,4.305249606489053,0.046345,0.021526248032445277,200.0,0.0,0,0
sqrt,4,0.06772236035524426,0.03814759095501397,0.07237237395137312,0.08371202652694273,0.05730546348565562,0.08745461287490572,0.04968880978328666,0.057550181262938836,34.259,11.610888498807142,0.17129592964824122,0.058054669620148595,199.999,0.031622776601687885,0,0
half,10,0.07182321546659032,0.004490631110319674,0.07262884661576166,0.07303237003987281,0.04751029851643188,0.07700310499216023,0.05441249100805141,0.05487100713057403,126.693,25.999552452450533,0.6335139726409827,0.13003404115150716,199.986,0.12577686520111414,0,0
original,20,0.07913054409700915,0.0058868990551530975,0.0035613555756390447,0.0720781200049662,0.0003194092782109184,0.07285960213707833,0.002917723669505588,0.05889079987189269,195.982,2.460025960783286,0.98984900483456,0.008066982362831347,197.99,1.704936012525637,141,141
