dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,3,0.0678352754903875,0.02779494829778159,0.09666932320466114,0.1562276901986837,0.08467433312476307,0.16035900346768764,0.06864759832362906,0.11064140191705098,12.089,3.9825795585198214,0.24178,0.07965159117039647,50.0,0.0,0,0
ten_percent,5,0.06480461534916952,0.008656174752591745,0.09147731128088363,0.15273186958457374,0.07075620183122039,0.15333478731554917,0.0669507500493312,0.11219458205434736,23.108,5.5379603650626645,0.46216,0.1107592073012533,50.0,0.0,0,0
sqrt,7,0.0700051663882938,0.0081284055644596,0.07925517831833562,0.1447997669571529,0.054595971812762045,0.15075529818990863,0.060628490460566654,0.11007985825541786,32.034,6.126367306681531,0.6406799999999999,0.12252734613363064,50.0,0.0,0,0
half,25,0.07535854160273699,0.007988041891439052,0.027593568968682865,0.15862500049111508,0.03379554949218307,0.16668925901794254,0.022534151448301076,0.13051374799766932,49.841,0.4774378985239311,0.9976379591836735,0.008641577659950628,49.959,0.20337246706563014,908,908
original,50,0.07671479208097748,0.00925040478751353,0.008723044466401023,0.1410318194269146,0.00936194956240009,0.14237345009230823,0.007208977512161257,0.11628777925512213,49.735,0.6581855423877133,0.9978713254450716,0.006503593007800767,49.841,0.5657199298584399,899,899
