dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,5,0.06454791983287557,0.008382521160431951,0.08790408628044999,0.15325928887377646,0.06802639718756491,0.15940776097151427,0.06491378519038529,0.11279634429272466,23.101,5.627652216463762,0.46202,0.11255304432927525,50.0,0.0,0,0
sqrt,14,0.07473284051862372,0.007791719755596671,0.05952172835849977,0.14786823049813244,0.05193419158087018,0.1532663657956862,0.04841422510444526,0.120524577400322,47.662,2.967247977598193,0.9533767346938775,0.05937922042136181,49.993,0.08341437500789704,326,326
ten_percent,20,0.07497512672136251,0.007834288736349854,0.05756068442301751,0.13447858812902744,0.05530587649497672,0.14685634122738508,0.04742599815487803,0.11072995525201541,49.614,0.994984418970467,0.9926559183673469,0.01965824882303704,49.981,0.13659303663678327,794,794
half,48,0.07588749688616021,0.008929002624335807,-0.02546924586307313,0.15701564057722314,-0.02271361746950948,0.14391143739382092,-0.02100247817965523,0.12947841419478187,49.941,0.26379649085722956,0.99886,0.005208409308755172,49.998,0.044698970882986085,950,950
original,200,0.07499827858900257,0.007764918257237408,-0.1865117742382477,,-0.1634577409482127,,-0.1540468188620548,,49.765,0.7901894705698109,0.9999767441860465,0.0007354134093414796,49.766,0.7809314015032658,999,999
