dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,2,0.354057726500827,0.09960739980915849,0.13337206774337368,0.14485490754367175,0.12058455268927305,0.13909514280621108,0.09211830498741586,0.10041782821636976,3.03,1.3352463753490906,0.0606,0.02670492750698179,50.0,0.0,0,0
ten_percent,2,0.354057726500827,0.09960739980915849,0.13337206774337368,0.14485490754367175,0.12058455268927305,0.13909514280621108,0.09211830498741586,0.10041782821636976,3.03,1.3352463753490906,0.0606,0.02670492750698179,50.0,0.0,0,0
sqrt,4,0.2828280045618018,0.06521903198138708,0.1561125439316367,0.13987367166187736,0.128640473278599,0.13557965046696208,0.1084413987822234,0.09736695038061903,4.913,2.3691863675203013,0.09826,0.04738372735040605,50.0,0.0,0,0
half,10,0.2551781893189067,0.0505489475003032,0.1733239875260217,0.1380792150254839,0.13450010147985667,0.1356685173529809,0.12156612044398238,0.09619524129966985,6.169,2.775633827280383,0.12338775510204081,0.05551519984922084,49.997,0.054717401199197435,0,0
original,20,0.081006315446753,0.013221894739753392,0.0033460198815104024,0.14290594230882717,0.00013902559602171986,0.1408204880427372,0.0028563476897053063,0.11761956275499222,49.191,1.066609889630065,0.9903496533978994,0.016715469895830882,49.669,0.5880346799167415,656,656
