dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,4,0.0627978104502658,0.024332281717299068,0.0817346196230544,0.08983423443456282,0.06626040191070057,0.09311007835374198,0.056252988271647264,0.06215871152800295,34.109,10.847247659281223,0.17054499999999997,0.054236238296406065,200.0,0.0,0,0
sqrt,10,0.0712866461506896,0.00432955619029118,0.08500055022533966,0.07330425474731626,0.05579843379717893,0.07322889363266749,0.06350609099496425,0.05462273292587431,122.71,20.8318473944551,0.6135774371859296,0.10415928965820957,199.991,0.09448771310561904,0,0
ten_percent,10,0.0712866461506896,0.00432955619029118,0.08500055022533966,0.07330425474731626,0.05579843379717893,0.07322889363266749,0.06350609099496425,0.05462273292587431,122.71,20.8318473944551,0.6135774371859296,0.10415928965820957,199.991,0.09448771310561904,0,0
half,50,0.07739609029778544,0.00500999679771446,0.003021077622209495,0.07076306363351641,0.0035085786738038847,0.07061832929337572,0.002475972525747627,0.057870163874787744,198.007,1.4910312452038585,0.9935616276745431,0.005981042233633126,199.29,0.879018016125194,307,307
original,100,0.08396529274970062,0.007940423921860893,-0.0006968606187295424,0.07086621510270416,-0.0013245056903633636,0.07199886832021433,-0.000577217323109571,0.057880528334586866,194.043,2.9688322561177025,0.9828650095023954,0.010160217771808588,197.425,2.1468544394029063,37,37
