dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,3,0.0816444560031317,0.05218503167549606,0.07573965442537331,0.09572100739543332,0.06736644182316827,0.09874949307793071,0.05169576341379604,0.06569434569397153,20.633,7.92319935935529,0.103165,0.03961599679677644,200.0,0.0,0,0
ten_percent,5,0.06150692591285944,0.01464446708840416,0.0742858379793196,0.08012276039185182,0.055153156723980024,0.08419820539672772,0.051476507198045696,0.055558537177841184,47.747,14.758414610038635,0.23873653266331657,0.0737934666572755,199.999,0.031622776601687344,0,0
sqrt,7,0.06548203361987417,0.007481771485124202,0.0820977930171301,0.07538970686423282,0.05512399829667553,0.08069310747276796,0.05844374482265801,0.05385779663010755,78.524,18.504319329114317,0.3926237688442211,0.09252130895124394,199.998,0.04469897088298668,0,0
half,25,0.07544644230056832,0.004772197863372212,0.04233775225810521,0.07453525835185097,0.03311717911701221,0.07725645151761382,0.034461435912896396,0.060730275769890166,196.799,4.497201777085826,0.9853848145328709,0.02237718492067864,199.718,0.5520695434279811,326,326
original,50,0.08327575408144604,0.008015678654043417,0.0028689718503278976,0.0710253489731608,0.0009852155188237617,0.07025223044358152,0.0023254259481069843,0.057974340473702854,193.328,3.0294543392488333,0.9817438746048505,0.010820528720922715,196.921,2.0066852732269167,25,25
