"","slack_input.X0","slack_input.X1","slack_input.X2","slack_input.X3","slack_input.X4","slack_input.X5","slack_input.X6","slack_input.X7","slack_input.X8","slack_input.X9","slack_input.X10","slack_input.X11","slack_input.X12","slack_input.X13","slack_input.X14","slack_input.X15","slack_input.X16","slack_input.X17","slack_input.X18","slack_input.X19","slack_input.X20","slack_input.X21","slack_input.X22","slack_input.X23","slack_input.X24","slack_input.X25","slack_input.X26","slack_input.X27","slack_input.X28","slack_input.X29","Y"
"0",0.132991740892556,0.372623846018807,0.729866676278535,0.0167585181396847,0.37710136282886,0.358121136082808,0,0,0.0611510547406726,0.262235268993966,0.0058477030942004,0.436433893225615,0.156833336402221,0.352747796047302,0.297090974139224,0.27962651015015,0.237560374913047,0.170316679371741,0.109659253272639,0.254838591239,0.126588557128271,0.226107818530775,0.247382754531782,0.207900312880805,0.258932032097817,0.0768948807298594,0.472146098332865,0.224816240292107,0.274637865432228,0.263555569142794,0
"1",0.247641802699839,0.273330977892943,0.271928997179561,0.218803599958811,0.28396844707947,0.252683129791223,0,0.0690814460370211,0.200221066034089,0.253202147868772,0.186942960013974,0.311545860805336,0.177530644981198,0.253695258965749,0.175211540801943,0.117524103393145,0.148594203560083,0,0.118566124096118,0.0736341218373673,0.099626893949976,0.211398606335095,0.235219123300244,0.219240959649903,0.133958011643243,0.103130873313168,0.269982753201073,0.154378119269389,0.150087253415618,0.134179529561116,0
"2",0.0992684224492981,0.100742411186843,0.161429338866999,0.0438709430799077,0.0948990808239498,0.0864540188370736,0.00711289441395291,0,0.061317049273801,0.0915926912687996,0.0524737075138731,0.0990731611606455,0.0693845394666246,0.10826451607961,0.0618162508561687,0.0815095080119263,0.055415806513389,0.0347437129911011,0.0684403944654264,0.0524610061228157,0.0528716398151804,0.0890321208098198,0.05828668078453,0.0533424306003985,0.02870417661532,0.058397502084558,0.118267089509988,0.0950206416375829,0.0921521058459386,0.103136161727362,0
"3",0.142611434454174,0.110554521250788,0.140137290025347,0.121004330538079,0.129849395067932,0.11969130500296,0.0179672786976523,0,0.121121250128922,0.137653395598381,0.0932599475353671,0.118967977226855,0.102884985510619,0.124481391180462,0.0705460331779904,0.119145853068786,0.0742284538078878,0.0862162101310611,0.106419539685858,0.0990312332212793,0.0856675825224869,0.120305165142944,0.0599693706992864,0.0791465252687818,0.0570629355495731,0.0876683004670216,0.164050038335898,0.124061507049619,0.128097124431118,0.108064409416691,0
"4",0.0674556194428604,0.0580421590112163,0.0912141916513152,0.0741617270822387,0.0884676326946411,0.0804964068609837,0,0,0.0709134918171348,0.0830388065478214,0.0504906481154546,0.0764858981550684,0.0655008165881538,0.0619292151848146,0.0449840288988716,0.0838332351685372,0.0290178986243969,0.0603714611726245,0.0681821657930081,0.0578452826224646,0.0464654036592485,0.0593149529762035,0.0318415355562393,0.0358414406368174,0.0302033693506426,0.0416391799998655,0.0958171807228424,0.0752866002070177,0.0907177368618462,0.0500814146325968,0
"5",0.252498397785108,0.176682046407443,0.319295073495469,0.135430714764051,0.30688857489905,0.627342207738521,0.0336611162306886,0,0.162535650155086,0.542492830941819,0.241228934028646,0.371704207401465,0.323692527138935,0.279500066147359,0.273718262009505,0.365602266282473,0.279553684725505,0.367756472674091,0.278836175480561,0.375993273577308,0.254514858556932,0.24805660650743,0.153555103439792,0.237330482143284,0.268638188604363,0.126665523529063,0.580125022893448,0.290528567323984,0.468657219890076,0.148482185359289,0
"6",0.104226645108873,0.059797641003157,0.090943173840672,0.0586719279583021,0.0747349327074924,0.098423709731347,0.0186801503559195,0,0.0793588022936304,0.115763821548601,0.0482512230313845,0.100824228243275,0.067008263668478,0.0908028052802889,0.0623301639964621,0.111815248383505,0.0676948299341486,0.101994183768128,0.0914526926988613,0.106594885637585,0.0809710564341949,0.0837595330845029,0.0257123936514549,0.0525684997508095,0.0560760197338537,0.0658086632198283,0.150717511697012,0.100583032043626,0.119797322912148,0.0819991327151863,0
"7",0.0504231908067072,0.137720152303733,0.297648035861881,0.0336444318156441,0.185208642546563,0.0984947059719195,0,0.0164357945889096,0.0277469800691061,0.0738771435172945,0.0230994019736457,0.14373262090007,0.137260413822835,0.110935677622097,0.120888138752307,0.142320388902657,0,0.0412161750006092,0.110839151340974,0.0184484798819252,0.0335707083206818,0.0903590334086095,0.0476521065584585,0.0283724933942243,0.00715920412769496,0.0688653707984497,0.107603757422935,0.138462544533572,0.11942532771225,0.166019590224319,0
"8",0.444384346394811,0.455222474518681,0.659790410361044,0,0.290269969720483,0.337626324425786,0,0.0946152174897553,0.274040323852445,0.384673282083403,0.174056219125367,0.473651190148955,0.182115014961225,0.500145720038464,0.312580447680693,0.314922673016108,0.347577481517925,0.275963535667077,0.286269782279714,0.364302305480959,0.286760752875422,0.365243820560978,0.258423002001766,0.313884240561782,0.278082289419312,0.225021144068642,0.66878572908691,0.349661788000992,0.400501481226566,0.403791371328854,0
"9",0.272210979046987,0.267772601228074,0.221820854795251,0.184458583454496,0.207449777614857,0.124692301561947,0,0.132703400378015,0.235772079675124,0.173951440805568,0.16895430697249,0.29362153922321,0.146195165248142,0.258184250952964,0.159400014915262,0.0946823756989965,0.128682330927627,0,0.132309976040149,0.0803296221599998,0.114073201489743,0.214907996963032,0.17877463879042,0.20943036974558,0.114944078988632,0.138526018126805,0.24498960706198,0.156200681481246,0.131950779925859,0.157069852008482,0
