dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,5,0.06651054182043734,0.018381438109777343,0.09034552049317018,0.14831147050493143,0.07311918908502812,0.15522924712574607,0.0662631003249833,0.10828549321938667,22.098,6.568831368329188,0.44195999999999996,0.1313766273665838,50.0,0.0,0,0
sqrt,14,0.07484602664338239,0.007947704699342731,0.05742123688600332,0.13911050446974624,0.050480992997668866,0.14611791120019985,0.046468411784732516,0.11302033013059826,47.697,3.2835914747381367,0.9542608163265306,0.06560273502205712,49.983,0.12933571713849112,395,395
ten_percent,20,0.07507309906849145,0.008116951252645993,0.024184434957311263,0.14616583481328077,0.023053871742179485,0.1492718521210927,0.019614167000332985,0.12010593943492846,49.649,1.034828425329469,0.9937167346938776,0.020405902773626514,49.963,0.1940841793363619,840,840
half,48,0.07579841485689358,0.008781336963951052,0.0008669641030844555,0.14236157154386606,0.0026026526488175574,0.14102691821582403,0.0007156432402305009,0.11739552339097818,49.937,0.26286897896119205,0.9989195918367346,0.0048654788266753405,49.991,0.09448771310560994,949,949
original,200,0.07493941055488414,0.007772855411882098,,,,,,,50.0,0.0,1.0,0.0,50.0,0.0,1000,1000
