dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,3,0.2570454205928273,0.09593625013812207,0.1575882347647079,0.23074398971326213,0.13185120506164485,0.22644096831635638,0.11228691201461576,0.1663391257615011,3.323,1.5469531550968387,0.16615,0.0773476577548419,20.0,0.0,0,0
ten_percent,5,0.23729319904041116,0.08324244027428025,0.1630376029573193,0.23235507363757307,0.13462732622542095,0.22993463915809378,0.11829325499482968,0.16859626268748507,3.775,1.8159495237127812,0.18875,0.09079747618563903,20.0,0.0,0,0
sqrt,7,0.22162048616806695,0.07812785730213935,0.1739027761612005,0.23337743633645658,0.14337318361144452,0.23468449167408964,0.1256317039510033,0.16962714035255963,4.16,1.8957832138707207,0.208,0.094789160693536,20.0,0.0,0,0
half,18,0.2115485800704192,0.06971764208826237,0.1745766879991208,0.23585403603645985,0.13852294026911738,0.23411704982952558,0.12649301123094273,0.1709169681075226,4.39,2.050391207575789,0.2195421052631579,0.10251633577379532,19.996,0.06315051850925656,0,0
original,50,0.07534363863577206,0.012151477582570567,0.07559289460184543,0.23589805352942605,0.04742667049701149,0.2144855807986699,0.06324555320336755,0.1973664717252664,19.984,0.12553788177183708,0.9995,0.004977426521283355,19.994,0.0772655807586411,990,990
