dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,2,0.3870630256743134,0.14133414575451236,0.14152342086079922,0.1499047002565833,0.1279347801802853,0.14741862510417125,0.09748454630614269,0.1032863147593624,3.403,1.3617802485883865,0.06806,0.027235604971767705,50.0,0.0,0,0
ten_percent,2,0.3870630256743134,0.14133414575451236,0.14152342086079922,0.1499047002565833,0.1279347801802853,0.14741862510417125,0.09748454630614269,0.1032863147593624,3.403,1.3617802485883865,0.06806,0.027235604971767705,50.0,0.0,0,0
sqrt,4,0.26864323029159415,0.08591462155555121,0.1625044807276186,0.14401205291060257,0.14241514634534153,0.13937884686641264,0.11250835155643985,0.09973720204734021,5.582,2.135377211603569,0.11164,0.0427075442320714,50.0,0.0,0,0
half,10,0.2324590465078076,0.05338461984092444,0.17676550327738463,0.14008637779546018,0.15110384527455561,0.13802041098675286,0.12297507423736541,0.09728643938616581,6.781,2.397245457975836,0.1356795918367347,0.04801128049462123,49.983,0.12933571713849104,0,0
original,20,0.08011795659674253,0.01235116119446789,0.006498020735515921,0.14042124865174643,0.004580062962525979,0.13665134276390462,0.005375803463511952,0.11562854272281965,49.286,0.9607950494913717,0.9915519322622667,0.014617512775147045,49.705,0.5641748782897843,682,682
