dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,2,0.15516518439007657,0.1326453549501779,0.09880862395268611,0.12892698587687937,0.09580435814796935,0.13005450096360827,0.06765547728707123,0.08831889774853789,9.165,3.5122800445168267,0.09165000000000001,0.03512280044516826,100.0,0.0,0,0
ten_percent,2,0.15516518439007657,0.1326453549501779,0.09880862395268611,0.12892698587687937,0.09580435814796935,0.13005450096360827,0.06765547728707123,0.08831889774853789,9.165,3.5122800445168267,0.09165000000000001,0.03512280044516826,100.0,0.0,0,0
sqrt,4,0.06604070737189296,0.027988759389704704,0.08943681960508623,0.11311391772684216,0.07433275363327801,0.11588698767007471,0.06210429226146451,0.07895661478457114,24.974,7.958055959507612,0.24974000000000002,0.07958055959507614,100.0,0.0,0,0
half,10,0.07341054351325027,0.005933608944514304,0.06958907776711415,0.09896919146989042,0.05211886039041674,0.1068769363238898,0.0536433651476704,0.0762580470344108,73.369,12.78061748051256,0.7337435353535353,0.12781923345512156,99.993,0.08341437500789743,2,2
original,20,0.0785265601353527,0.008200680278549852,0.0018472462163116683,0.10209699125674242,9.957315071167491e-06,0.10071952643771118,0.0014876750333428755,0.08369548535885762,98.605,1.6363534620162774,0.9920883926292708,0.011533149442122536,99.388,0.9199469018928773,496,496
