dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,3,0.27889467283587,0.09582906502757794,0.19309682480682427,0.11397037037600039,0.15899081426228973,0.09946480152785553,0.13307844099794763,0.07835016324264205,5.451,2.537328720729153,0.054509999999999996,0.025373287207291515,100.0,0.0,0,0
ten_percent,5,0.22886604838962918,0.06473488231867539,0.22451126426894694,0.10273395961036158,0.17279935141420802,0.09274978434373048,0.15554460229380848,0.07054297755654475,7.413,3.136282395969353,0.07413,0.03136282395969354,100.0,0.0,0,0
sqrt,7,0.22115207083054159,0.05438693850416167,0.23117142783701305,0.10317774684398097,0.1758517476998612,0.09444087478086576,0.16043240638399664,0.07117921889793531,7.898,3.4971167875588334,0.07898212121212121,0.034973956627708504,99.998,0.044698970882987375,0,0
half,25,0.2234459156458692,0.043349371464344914,0.23084516614116732,0.10204784805021837,0.17502229659182114,0.09453222439438713,0.16018184635102614,0.07035634603659664,6.789,2.979153294873285,0.06806698378695432,0.029882480681038222,99.748,0.5125999987892674,0,0
original,50,0.08668508161633705,0.011524072535486972,0.006461510359671917,0.10279144961351039,0.00767664946674117,0.1047871531063925,0.005306148365059357,0.08411386822349845,97.072,1.8193752021301497,0.9815719945075907,0.01425492673007436,98.893,1.0481648962112995,163,163
