dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,5,0.23896917738472473,0.07306446936571044,0.20616453905715482,0.16017451301269936,0.15513652873619252,0.1434707821947462,0.14645725966098228,0.11195890490480896,5.441,2.8072049086946604,0.10882000000000001,0.05614409817389324,50.0,0.0,0,0
sqrt,14,0.22803776258568403,0.05748152540579903,0.221395890542054,0.1507011210906776,0.15992131129493226,0.14038148744303133,0.15746038447024716,0.10538475321726504,5.367,3.0350490148467992,0.10737850340136054,0.06071468379218954,49.983,0.13685660279916997,0,0
ten_percent,20,0.23380055780265543,0.05493578450639176,0.21768337874095717,0.14953556105480226,0.15944434917588785,0.13890405623945648,0.15377576739710194,0.10330355081867208,4.856,2.8244010411485903,0.09725307823129252,0.05660817903760026,49.941,0.24815434830077188,0,0
half,48,0.25085475489128783,0.056331913545621594,0.1985846628935261,0.15363416680401534,0.15226901858429434,0.14349633329081649,0.13958997619919672,0.10588371222393543,4.326,2.425202178294751,0.08667530612244898,0.048587729934715024,49.903,0.31255189759252455,0,0
original,200,0.07623563481581948,0.009209242404428419,0.004823808514071127,0.14757853944163798,0.007104123968067452,0.14662951486442866,0.003964324695179562,0.12164715597198371,49.79,0.4495576738329609,0.9977171428571429,0.006910265329730658,49.904,0.3014545983641232,894,894
