dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,5,0.2428512096575184,0.06533850553217713,0.22880265344247958,0.08999756640940992,0.16006957675649627,0.0700957237723827,0.16130776011007852,0.06333101681369899,8.628,4.134575033871162,0.04314,0.0206728751693558,200.0,0.0,0,0
sqrt,14,0.21934151147939765,0.035339594341439455,0.2508901362133404,0.07783580697453497,0.16581605653997356,0.06709086474298312,0.17814409301618309,0.054420831043339106,9.471,4.277786630777469,0.04737046447821324,0.021398218801919333,199.936,0.26452594196783585,0,0
ten_percent,20,0.22282692266995205,0.03547479120334303,0.2486852409288189,0.07653897216199042,0.16520775789914247,0.06678113314537203,0.17630404665077526,0.05338250548333854,8.803,4.184459427536692,0.04407966209682468,0.020962217881647448,199.72,0.542119815072169,0,0
half,100,0.2441959455356381,0.03154430694250204,0.20583055954336466,0.07592420046117296,0.13706176710079,0.06864738711614274,0.1461468227330896,0.052403715587993914,14.392,4.159523727259846,0.07374843494706113,0.021386718985954546,195.232,2.2367787506097203,0,0
original,200,0.1064744642426947,0.011503226247569774,0.011121080092306007,0.07237839186404671,0.008951316344739974,0.07195020617322988,0.009010196936721067,0.058616067383391486,179.984,4.17074803112573,0.9440486988898438,0.016278401125275475,190.651,2.9400412995131293,0,0
