dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,2,0.2037116383025516,0.16273624759952182,0.08930139899304207,0.11178769246512416,0.08657050805709293,0.11411314786024222,0.060839635588245296,0.07603185971654831,10.308,4.659060296115824,0.05154,0.02329530148057911,200.0,0.0,0,0
ten_percent,2,0.2037116383025516,0.16273624759952182,0.08930139899304207,0.11178769246512416,0.08657050805709293,0.11411314786024222,0.060839635588245296,0.07603185971654831,10.308,4.659060296115824,0.05154,0.02329530148057911,200.0,0.0,0,0
sqrt,4,0.06669887958106145,0.03368672337923042,0.07598920951391784,0.07829634368677749,0.06210036453249787,0.08317383648637573,0.05189894718067863,0.053676638797972284,34.129,12.021184129189107,0.17064512562814071,0.060105616057296786,199.999,0.03162277660168473,0,0
half,10,0.07222834792308508,0.0045041969591531,0.07471767648996787,0.07243579211684255,0.054020281020006104,0.07690823421718763,0.05569887589066097,0.05412685485967704,123.555,26.047984038548396,0.61779596924014,0.13024303061025072,199.993,0.09465706502929273,0,0
original,20,0.07863781349202677,0.005754544370166239,0.000837137250986548,0.07181673576498564,0.00023379074857762455,0.07113857567062834,0.0006949755078167982,0.05872098493337346,196.764,2.1829038158079754,0.9910711257103371,0.007841031384756588,198.535,1.3238306264502036,199,199
