dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,5,0.06522893072707593,0.009978754312102567,0.10284543255530407,0.15282929373180706,0.08992610786422524,0.16369095696408886,0.07569883025840698,0.11243167381268619,22.84,5.948258718463897,0.4568,0.11896517436927796,50.0,0.0,0,0
sqrt,14,0.0747312438123969,0.007802418083211138,0.07169894930381705,0.14366693437926176,0.06129152155212482,0.1554130852789726,0.05830478477756087,0.11681103865133109,47.266,3.080378667101292,0.9455473469387755,0.061596670268006186,49.988,0.10893974420691482,265,265
ten_percent,20,0.07497642417291525,0.007799483196841514,0.06992261747451779,0.14086227817221436,0.06474672385152654,0.15603614682058067,0.05747789492075999,0.1158233066671732,49.458,1.1373343965296807,0.9898142857142856,0.022518618412822024,49.967,0.17872588772459044,710,710
half,48,0.07577048182097448,0.00867932638790316,0.028716427923764883,0.14612446112572894,0.037368884977389376,0.17349254328900685,0.02368017310402381,0.1204973175415684,49.938,0.24538992688416497,0.9989,0.004648829058118992,49.993,0.08341437500789663,946,946
original,200,0.07493941055488412,0.007772855411882095,,,,,,,50.0,0.0,1.0,0.0,50.0,0.0,1000,1000
