dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,3,0.07512520137792178,0.050123247028313576,0.08955471190818064,0.12157641499048903,0.07884231109875575,0.12694445956966838,0.06165794226060591,0.08427265029051492,16.247,6.0263012957623765,0.16247,0.06026301295762374,100.0,0.0,0,0
ten_percent,5,0.06439897798671161,0.015089793396490693,0.10671353977784973,0.10611320679628332,0.0852992863596306,0.11239821340413444,0.07535740251500182,0.07541674920678101,34.691,9.331698644919882,0.34691333333333335,0.09331644134283923,99.999,0.03162277660168518,0,0
sqrt,7,0.06894748796169277,0.007717497588669061,0.09876727145586096,0.10156204645322107,0.07344273431854956,0.10664266957276138,0.07236237172458691,0.07451634972657321,51.857,11.360440599317029,0.5185912121212122,0.11361287263292452,99.996,0.06315051850925785,0,0
half,25,0.07545916488136702,0.005616650957783694,0.031734186188651536,0.10195313479216964,0.027662654513098333,0.106221982169541,0.025832579421068907,0.08338666184933206,99.063,1.803408795388138,0.9923275446448495,0.017626176199082296,99.829,0.40733883306766366,642,642
original,50,0.0801966997804575,0.008950485231908199,0.001150545807391908,0.10021576824665089,0.0004996989445675764,0.09864852080261328,0.0009899361999917828,0.08211456960465528,98.481,1.3592227508714252,0.9904483231654357,0.0106307773404199,99.43,0.779556096575293,408,408
