,0,1,2,3,4
0,7.7645373,2.8878267,3.629009,8.597206,1.1586355
1,3.9133058,1.0610781,3.1572628,8.778786,0.7516429
2,5.3262773,2.0814755,3.450439,8.971014,0.78776735
3,9.530381,3.0898817,3.976477,8.071503,1.1294558
4,3.5164876,0.7266438,4.9982905,9.653195,0.25265723
5,4.5913568,1.690263,4.524156,9.545532,0.37338156
6,8.096951,2.9649053,3.7429075,8.462679,1.2139429
7,4.050177,1.4876689,4.466845,9.444549,0.3719324
8,4.162895,1.3139145,3.282122,8.847718,0.76908106
9,4.6030316,1.649165,3.6005096,9.036777,0.6921306
10,3.4152796,0.9392289,3.3148465,8.858089,0.5212652
11,10.624292,3.1721017,4.3466015,7.916137,0.9091408
12,9.137701,2.9269662,3.852441,8.1895685,1.1457329
13,7.0130405,2.8247066,3.6639063,8.5835705,1.2216196
14,9.942719,3.1445963,4.1480265,7.686401,1.138526
15,9.914541,2.7826605,4.0872498,7.857368,1.0669488
16,3.1724663,0.5596059,4.838458,9.479158,0.10809779
17,10.085949,2.6979415,4.325742,7.891885,0.93514353
18,4.961317,1.8987107,4.194856,9.399443,0.49121827
19,8.540012,2.985307,3.8066804,8.343034,1.2153318
20,9.95092,3.3319488,3.9235358,8.186278,1.0978882
21,4.9853997,1.904905,3.1072779,8.852143,0.80908763
22,3.4462674,0.75527775,5.466158,9.891208,-0.11260375
23,3.2805011,0.69340724,5.288229,9.74883,-0.12603116
24,4.137127,1.395295,3.9749062,9.136219,0.58632684
25,10.075265,2.9543355,4.3805537,7.626322,0.99149364
26,9.670394,2.764517,3.9305286,8.145817,0.93711317
27,3.2140396,0.74905586,3.9148412,9.062147,0.4135998
28,5.76003,2.2681353,3.471002,8.901156,0.89704406
29,3.844518,0.95226985,5.2256756,9.843766,0.21349438
30,3.6965706,1.162525,2.801807,8.723291,0.6190821
31,3.4834056,0.68010926,5.4082975,9.961877,0.17253911
32,3.8927498,1.193314,4.351559,9.293155,0.45235503
33,10.352754,3.469654,4.3045025,8.015137,0.7928393
34,3.5096726,1.0014395,3.860543,9.0387,0.48149833
35,4.063771,1.3956032,2.615044,8.679998,0.6965591
36,7.570688,2.9368904,3.7315707,8.543942,1.2857138
37,5.2537804,2.1089518,2.912249,8.733507,0.889202
38,10.824476,3.4065547,4.3494663,7.9261928,0.6698458
39,10.689313,3.1434138,4.4318814,7.8652344,0.8696904
40,3.365898,0.82178324,4.613515,9.441509,0.355726
41,3.9009979,1.3655623,2.958852,8.917958,0.5214367
42,4.3692427,1.4667978,4.918467,9.733458,0.26775473
43,3.3132834,0.8898204,4.1998305,9.186035,0.4611952
44,4.7647614,1.8861482,4.2096987,9.57774,0.27952397
45,7.3245096,2.7744772,3.5458133,8.714378,1.108034
46,5.5154676,2.2193017,3.0594997,8.748947,0.922883
47,3.9672296,1.1050273,4.9834323,9.689123,0.32952693
48,4.807968,1.8367769,2.7999432,8.721393,0.8058579
49,10.372628,3.2948186,3.9993565,7.8965106,0.8567346
