,0,1
0,-3.0572095,-0.90056545
1,-2.404231,0.42706227
2,-4.1457624,-0.35564125
3,-5.074814,-0.6006871
4,-4.748466,-1.1354139
5,-2.7067862,-1.7179617
6,-4.808872,-1.6262832
7,-3.433423,-0.41727436
8,-3.9782953,-0.76686585
9,-3.4897535,1.1739341
10,-4.2433696,0.64594233
11,-4.893369,-0.86358476
12,-4.740601,-2.1843688
13,-5.3528137,0.31677607
14,-4.0875735,0.48079985
15,-3.0287795,0.52824676
16,-3.6718578,-1.0514214
17,-4.2868037,1.1703469
18,-3.3969584,-0.6842332
19,-2.6288855,-0.5086316
20,-3.6014125,-1.9482586
21,-3.91759,0.12491411
22,-3.4876502,-0.035154235
23,-3.372315,-1.4439603
24,-3.534727,0.97260785
25,-4.7009845,0.7697224
26,-5.804517,-0.74665755
27,-4.333414,-1.4130334
28,-2.8301377,-1.5729562
29,-3.1407132,-2.102135
30,-2.2278247,-0.17872222
31,-3.4429164,-2.330306
32,-2.9705613,-0.22594017
33,-3.9313655,-2.2268054
34,-4.5700316,-0.12389482
35,-2.7456737,0.8926114
36,-3.4498818,0.5387192
37,-4.535602,-2.3444736
38,-5.2002864,0.6850216
39,-4.3639913,1.5847936
40,-2.6894739,-0.022119712
41,-3.642192,-2.648297
42,-4.003031,0.8993058
43,-5.615581,-1.3372957
44,-5.6105385,-0.13781275
45,-5.2483535,0.21355122
46,-5.9247584,-0.23127252
47,-4.8172755,-0.49344748
48,-5.2239766,-1.6707066
49,-2.2125332,-0.9526559
