,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,6.177866,1.9231055,8.932872,4.1337514,4.3458295,4.0871997,4.1425385,3.5329518,5.6992455,3.7207477,7.1149287,6.1587787,6.2575727,7.6809382,6.6268125,4.201876,6.2579403,2.5260847,5.977121,5.613367,7.4818664,6.334622,4.1664205,7.393024,6.441509,3.9119449,4.137038,5.6647286,6.7857385,3.3750272,2.4986024,3.3619072,5.664872,4.473496,4.071337,3.858061,3.8735883,5.443808,4.889133,2.778379
1,6.199756,1.6953356,8.6957655,4.4927297,4.3892517,3.9246986,3.9900424,3.2554536,5.528106,3.675963,7.0894322,6.0652757,6.441469,7.5245895,6.4522386,4.1852474,6.023902,3.085211,6.3925514,5.2519917,7.7355843,6.145189,4.324351,7.5037403,6.269511,3.9136517,4.405712,5.500823,6.8824396,3.2995605,2.685272,3.5739794,5.7787495,4.450139,3.9756007,3.850511,3.8052545,5.098134,5.0455985,2.9442723
2,6.287688,1.7506881,8.993483,4.1942034,4.37166,3.990885,3.830678,3.4598858,5.4430175,3.881717,7.040048,6.082853,6.28676,7.4913406,6.68658,4.091694,6.3965178,2.3716831,6.029481,5.7803216,7.6543875,6.4041514,4.1454377,7.4075456,6.3923535,4.00459,4.1266494,5.6535926,6.7705894,3.3031282,2.3047216,3.2782526,5.820071,4.6489005,3.9451299,3.898392,4.0884223,5.349243,5.395959,2.510144
3,6.1226745,1.8418133,9.290899,4.39342,4.301368,3.817181,3.3357902,3.7301178,5.458498,3.7410345,7.1435533,6.3073025,6.2029667,6.903772,6.8605022,3.9505086,6.4627666,2.364006,6.122352,5.7247787,7.6323266,6.405891,4.1668286,7.503517,6.4341354,3.7907994,4.1894464,5.6555247,7.044758,3.2231002,2.5083387,3.3858492,5.906041,4.5394855,3.9704525,3.9787085,4.071101,5.127061,5.518295,2.6239324
4,6.1979165,1.8519562,9.050544,4.356654,4.302471,3.7730813,3.5361435,3.7233524,5.6259184,3.544943,7.207824,6.363908,6.4002485,6.85043,6.688913,4.025464,6.2835455,2.7002242,6.162297,5.504144,7.5021343,6.2987537,4.1382084,7.63908,6.459272,3.5756183,4.208186,5.622589,7.1174536,3.2380364,2.7012947,3.4754589,5.828996,4.419143,3.9735017,4.03491,3.921179,5.1495385,5.2346406,2.8089015
5,6.330009,1.527775,9.093862,4.1951823,4.2206016,3.8651407,3.9626162,3.9489164,5.6817894,3.452754,7.1531725,6.2464194,5.9446964,7.230076,6.8000646,4.1005297,6.2667494,2.6515987,6.052747,5.9609833,7.1854377,6.3814454,3.8823175,7.516536,6.4296584,3.535257,3.9527757,5.330623,6.712233,3.4232776,2.3718755,3.3787444,5.549029,4.47561,4.0361137,4.041987,3.9939961,5.3874383,5.011742,2.8015144
6,6.1764417,1.8268133,9.400001,4.2065864,4.1745324,3.918678,3.5364957,3.8161223,5.561664,3.7323241,7.1388917,6.3282914,5.789451,7.05187,7.176186,3.8787947,6.481131,2.2729309,6.0110626,6.145647,7.2599297,6.547251,3.9807878,7.332192,6.352158,3.6402981,4.1813483,5.5553484,6.8737206,3.3089817,2.425481,3.4312577,5.8893323,4.3896866,4.253321,4.0960693,4.0399413,5.1984034,5.193896,2.880087
7,6.492968,2.0393033,8.90032,3.961298,4.3728213,4.0886054,3.9457798,3.4494,5.4765205,3.639749,7.1327085,6.147741,6.5325403,7.5159416,6.7121654,4.0672717,6.383424,2.5257173,6.0599637,5.702307,7.6563845,6.3639226,4.1969137,7.3734818,6.4011707,3.8585358,4.370519,5.7884936,6.9589705,3.2459273,2.6549907,3.4758909,5.974846,4.480258,3.911149,4.075024,3.939548,5.2796297,5.1756406,2.7990065
8,6.1553817,1.6686095,8.901221,4.2252545,4.2999206,3.9786375,3.973235,3.3461702,5.6415153,4.041316,6.9966793,6.1024613,6.0569572,7.5137653,6.764644,4.0878205,6.310933,2.3876977,5.9440646,5.859048,7.381386,6.4532185,4.0547786,7.3883257,6.3349476,3.9351504,4.0282397,5.5850897,6.640965,3.3741927,2.176593,3.2176588,5.732951,4.5703115,4.2339416,3.8294337,4.0467067,5.495751,5.119163,2.5724766
9,6.384122,1.7233361,8.681042,4.3153663,4.3827806,3.9967482,3.9929535,3.0740633,5.3846426,3.8235905,7.0157104,5.958621,6.432721,7.693725,6.582165,4.116679,6.1306024,2.920932,6.366589,5.5315094,7.808212,6.2141514,4.3348556,7.345669,6.213389,4.0761847,4.536618,5.551334,6.772528,3.2655146,2.6173902,3.5932457,5.936925,4.478584,3.9769337,3.958673,3.885504,5.061338,5.186863,2.9350157
