,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,4.275896,5.9812336,6.0259852,2.7428734,5.591673,3.75128,6.1619263,4.556597,3.7270486,3.9714735,5.972533,2.81574,4.0034404,7.493364,5.18989,4.932905,6.0359077,4.2647815,3.2600753,3.7374055,5.331855,7.2483964,3.305396,7.570029,5.937712,4.73221,5.2895274,4.925116,4.586463,5.912434
1,4.659315,5.366308,6.1810226,2.8057795,5.5698643,3.7403767,6.26151,4.9514027,4.031611,4.030785,5.8198986,2.918369,4.014481,7.5655637,4.982569,4.782573,5.944697,4.5373974,3.0690567,3.8856747,5.734493,7.314178,3.2713623,7.776553,5.7269936,4.636174,5.894981,5.263033,5.1635413,6.0635467
2,3.9918113,5.9672794,5.9175487,2.6000662,5.494571,4.0797925,6.101092,4.515658,3.6588504,3.8636904,6.1255245,2.7567525,3.7723243,7.4667544,5.2313375,4.8711276,5.908992,4.4891014,3.1795487,3.6861188,5.680718,7.1598134,3.07617,7.7135553,5.988076,5.136698,5.5217896,5.1251197,4.938315,6.0579214
3,4.116252,5.8500896,6.05457,2.7288578,5.6428924,4.0208454,6.0329404,4.8335996,3.431958,3.6528332,6.222295,3.098406,3.3857338,7.197618,5.3955517,5.016698,6.1576204,4.6930733,3.0573432,3.8062236,5.3587956,6.7062902,2.9743006,7.6781354,5.9651384,5.205261,5.1344914,5.0663786,5.160995,6.398708
4,4.2118735,5.656393,5.9575014,2.736503,5.689948,3.870604,6.1061563,4.85658,3.5716658,3.7781994,6.089177,3.057193,3.4099724,7.1414433,5.4822283,5.078153,6.250026,4.581315,3.150014,4.069795,5.057942,6.738343,3.1076863,7.6232705,5.9393477,5.000429,5.2754073,5.003014,5.029982,6.2493944
5,4.5262775,6.096722,6.0254908,2.3411615,6.0723743,3.5152795,6.0899234,4.8014107,3.568726,3.951918,5.7978206,2.9125776,4.0257487,7.33288,4.9390354,5.128489,6.2732344,4.4112883,3.2589328,3.9779618,5.2426734,6.6670327,3.196693,7.535335,5.7328877,4.877146,5.240165,5.177596,4.7786274,5.980888
6,4.1209016,6.3501115,5.965459,2.889306,5.797499,3.750071,5.897063,4.708752,3.1774693,3.6876159,6.0938473,3.180881,3.6055212,7.3275456,5.1370893,5.2772665,6.372496,4.463284,3.0782647,3.586015,5.0852876,6.5180063,3.0077643,7.7142515,5.824953,5.14294,4.939273,5.069311,5.033268,6.1766376
7,3.9652607,5.618111,5.8549123,2.7527795,5.465796,3.8701658,6.0707545,4.528209,3.6963627,3.896153,6.1202407,2.9172308,3.7135637,7.42138,5.4464507,5.0388246,6.0023427,4.304606,3.2316306,3.8312263,5.184426,7.235191,3.2357938,7.706627,5.9191785,4.8412657,5.6260896,4.937943,4.846272,5.9176626
8,4.275694,6.4604106,5.9752383,2.855408,5.539937,3.9549387,6.1610107,4.468459,3.6079717,3.9863265,5.940723,2.741797,3.9384596,7.482633,5.1148643,4.8536315,6.1019187,4.3707304,3.1145291,3.5510335,5.567277,7.126277,3.1530418,7.6900268,6.013676,5.0389576,5.3240767,5.138602,4.7536826,5.949272
9,4.1716733,5.397779,6.0095167,2.769784,5.4466896,3.758009,6.0854745,4.8073435,3.956313,3.991632,5.9453034,3.0350294,4.034005,7.7015243,5.0418787,4.906108,5.83636,4.411791,3.014883,3.5892315,5.7209873,7.45147,3.2207084,7.9259405,5.731121,4.7592225,6.0089192,5.233122,5.2550673,5.956253
