dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,5,0.3698297516925942,0.03550086014988731,0.09193561350528544,0.10078871687708617,0.09857159546861115,0.09887767892308448,0.06235338334674094,0.06910091527716036,13.92,3.2006005442485086,0.13920373737373737,0.032004244530440956,99.997,0.05471740119920064,0,0
sqrt,14,0.25276436664653656,0.025831790996678653,0.08347888280550209,0.09816764925656207,0.08001587138751735,0.09962760515064331,0.05894425367960147,0.0696721603390181,38.024,5.123248156362497,0.38256490580643376,0.05138141283706933,99.389,0.7458117961223422,0,0
ten_percent,20,0.2423149964459346,0.028241073560011883,0.057160617802480836,0.10229146249205927,0.0529046914805929,0.10466347252944201,0.04176713703703013,0.07466917470891046,48.565,5.248554307837761,0.5148065078509309,0.05293991094060534,94.311,2.3528312338148747,0,0
half,98,0.1711936035334821,0.023326037227456898,0.03645718299973707,0.10110409479577284,0.03526881603639085,0.1026950424422822,0.028135611772203577,0.0780567815748871,72.963,4.7716243983992905,0.7399296242755427,0.04757483845536973,98.608,1.1737605010025312,0,0
original,200,0.08036982203879046,0.008187902691698157,0.002797058760148708,0.10242757421011847,0.0066731887952616725,0.10820494956318447,0.002284219715085754,0.08398335355768545,98.186,1.3435807416040186,0.9904808176395142,0.010097901985046552,99.13,0.9444532767649176,382,382
