dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,3,0.43462110240608576,0.06551002233823106,0.08102736777090928,0.14233538361419956,0.0894656588159951,0.13989468315917125,0.05592932724975061,0.09796374085337071,5.846,1.7508139105425655,0.11692,0.03501627821085131,50.0,0.0,0,0
ten_percent,5,0.3267706827969921,0.04777445274043025,0.08246406210137933,0.1410905177258049,0.09104056367721178,0.1404066778696248,0.05768083062545003,0.09834486089252102,11.045,2.7335777741720557,0.22091795918367346,0.054673202651003436,49.996,0.06315051850925849,0,0
sqrt,7,0.27761604427925785,0.04109680256494697,0.0816943567407869,0.1412134819907486,0.0870451535113132,0.14158096174880347,0.058050495449000115,0.09995532513853234,15.336,3.3359005129398325,0.30678285714285713,0.06673630356370545,49.99,0.09954853042566703,0,0
half,25,0.19873998868998963,0.032925901382743865,0.06233465951056093,0.1404415151920921,0.06354856694064782,0.14674863654660514,0.04675460191591866,0.10447031732478106,27.736,3.9653534556238537,0.5623150325976829,0.07953332175115083,49.321,0.8441988342041644,0,0
original,50,0.0803973339220022,0.012725006085777086,0.006599818773506403,0.13686168358799794,0.005345766060151047,0.13654872048557748,0.005437964128337316,0.11286890645481397,49.52,0.7198042220757789,0.9929820408163265,0.012743594254754317,49.87,0.34237000046326693,719,719
