dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,3,0.36669728914035543,0.08056078388217211,0.07488378063699991,0.23055160492662094,0.07901039325826995,0.22977790359558992,0.05207277368304261,0.16600109357474227,4.607,1.3865328966430879,0.23035,0.06932664483215438,20.0,0.0,0,0
ten_percent,5,0.2598784750597305,0.06009153497449919,0.07360376753866835,0.2305312163696185,0.07469209145434456,0.23104411120857857,0.0534654762704797,0.17034413515093838,7.605,1.9205894052773658,0.38025,0.09602947026386824,20.0,0.0,0,0
sqrt,7,0.2168289910460638,0.05373721967314157,0.07154591052938707,0.2297119794638109,0.07048424524156613,0.23334751232572734,0.05328532518337583,0.17269963810228253,9.55,2.089465449789938,0.4776236842105263,0.10452708739487994,19.995,0.07056897321046944,0,0
half,18,0.16907173009457843,0.04525977827488227,0.0641265264013372,0.23137800672202105,0.05620874783139206,0.23553128436458948,0.04903884051913933,0.17991117522015224,12.477,2.2668501515560324,0.6244447368421052,0.11321743921201939,19.98,0.14007005254378843,0,0
original,50,0.07534363863577206,0.01215147758257056,0.07559289460184543,0.23589805352942605,0.04742667049701149,0.2144855807986699,0.06324555320336755,0.1973664717252664,19.984,0.1255378817718371,0.9995,0.0049774265212833586,19.994,0.07726558075864087,990,990
