dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,2,0.40590350904725725,0.10552897970566733,0.08011127895709244,0.1417929349084667,0.09290319150107522,0.13550656737959085,0.05515581404179153,0.09796048117208492,6.258,2.1859126730531155,0.12516,0.04371825346106227,50.0,0.0,0,0
ten_percent,2,0.40590350904725725,0.10552897970566733,0.08011127895709244,0.1417929349084667,0.09290319150107522,0.13550656737959085,0.05515581404179153,0.09796048117208492,6.258,2.1859126730531155,0.12516,0.04371825346106227,50.0,0.0,0,0
sqrt,4,0.17311624336389062,0.04331059617729369,0.07024778777865438,0.14510195215115876,0.06789401506400622,0.14521752924463258,0.049484374527914335,0.10197110645865817,14.745,3.729864191480286,0.2949,0.07459728382960573,50.0,0.0,0,0
half,10,0.07362055924098847,0.008004832845576916,0.03927062848869122,0.14562465088268545,0.03669754305622908,0.14612662099542578,0.03074220734005907,0.11458474196367391,38.896,3.2756547305712638,0.7781075340136054,0.06551872035199065,49.988,0.11777041169100966,0,0
original,20,0.07743303443942658,0.009409337371234146,-0.0041133537749198056,0.13665647400338246,-0.009075648188868557,0.13460266547558164,-0.0033338526939235497,0.11267391937922448,49.566,0.7363329316186971,0.9948126635547836,0.011593026207671941,49.824,0.41616967356740064,788,788
