"","efficiencies(result)"
"0",0.561692
"1",0.326658
"2",0.109747
"3",0.064633
"4",0.062979
"5",0.424819
"6",0.071171
"7",0.303067
"8",0.481911
"9",0.269949
"10",0.20973
"11",0.091974
"12",0.03175
"13",0.571753
"14",0.801497
"15",0.227861
"16",0.242983
"17",1
"18",0.264318
"19",0.101747
"20",0.167592
"21",0.098143
"22",0.551985
"23",0.181445
"24",0.593958
"25",0.748715
"26",0.492019
"27",0.01492
"28",0.128674
"29",0.293845
"30",0.459978
"31",0.192158
"32",0.200309
"33",0.390665
"34",0.490711
"35",1
"36",0.615076
"37",0.056029
"38",0.36786
"39",0.211299
"40",0.150732
"41",0.069024
"42",0.399221
"43",0.090973
"44",0.449879
"45",0.363267
"46",0.627497
"47",0.23638
"48",0.199162
"49",0.263237
