"","efficiencies(result)"
"0",0.670269
"1",0.328581
"2",0.118024
"3",0.062416
"4",0.05723
"5",0.48125
"6",0.084245
"7",0.309701
"8",0.534649
"9",0.260631
"10",0.193218
"11",0.084871
"12",0.035047
"13",0.510078
"14",0.842817
"15",0.219594
"16",0.237937
"17",1
"18",0.299107
"19",0.111299
"20",0.189305
"21",0.115519
"22",0.582239
"23",0.189685
"24",0.617957
"25",0.782892
"26",0.551367
"27",0.016514
"28",0.142408
"29",0.342837
"30",0.469424
"31",0.228827
"32",0.236755
"33",0.426735
"34",0.453719
"35",0.868113
"36",0.634989
"37",0.063889
"38",0.349874
"39",0.218732
"40",0.173051
"41",0.077299
"42",0.422577
"43",0.10625
"44",0.456728
"45",0.334937
"46",0.655788
"47",0.230227
"48",0.221542
"49",0.25642
