"","slack_input.X0","slack_input.X1","slack_input.X2","slack_input.X3","slack_input.X4","Y"
"0",0,0.529758376360293,0.502043726534331,1.36353497020078,1.98471676197604,0
"1",0,0.252091916859853,0.371856897621821,0.29688170393383,0.414457213670671,0
"2",0,0.136398181618513,0.065370594911946,0.200450055987343,0.118015713172987,0
"3",0.043936215132751,0.0501814899751716,0,0.107084877663879,0.0133494902031888,0
"4",0.0202898739659932,0.0207470028211935,0,0.0982133323714208,0.0108093784506931,0
"5",0.36734008466623,0.476517267049392,0,0.992684375236523,1.44322204366059,0
"6",0.12149609637247,0.0782951716035303,0,0.163598004299339,0.212262163342055,0
"7",0,0.0511329233757184,0.268309279998125,0.524865576581096,0.344846841106841,0
"8",0,0.809365065338428,0.244059151885296,0.864060531127829,1.20946367450228,0
"9",0,0.168079009456414,0.282224625574566,0.158366391613768,0.154488475372847,0
"10",0.0292247619633963,0.171589957659213,0.135384986898333,0.0970376804769013,0,0
"11",0.0284944448214311,0.0250078453330989,0.0161657436197004,0.139740286710627,0,0
"12",0.0148423381012143,0.026377276909702,0,0.0730169021629391,0.0552195973286319,0
"13",0.553914948826789,0.50611832453977,0,0.254741097156836,0.0701217538670706,0
"14",0,0.969147760714361,0.808627466015763,0.593838913590901,0.784125959240682,0
"15",0,0.226123057395727,0.0695045123699328,0.129861020509087,0.280859946609206,0
"16",0,0.376836936455544,0.00560800799075793,0.273493008085372,0.258373884508619,0
"17",0,0,0,0,0,0
"18",0,0.0700866874240977,0.254965709610024,0.548057622140117,0.632116827402005,0
"19",0,0.0489150962594566,0.104440231180982,0.213549334265863,0.249988656357055,0
"20",0.232457899961828,0.0914103707490925,0,0.299195538201742,0.58949405335077,0
"21",0,0.127038166733452,0.128248108467129,0.153186982181071,0.262165643567774,0
"22",0,0.947815536305791,0.176349272861188,0.509503726663726,1.15858149047345,0
"23",0.0657175478945185,0.275943834544653,0,0.272427077858616,0.428789514810598,0
"24",0,0.742863090593434,0.728787514863111,0.636609524239924,0.642123673618486,0
"25",0,0.883236973580323,0.274029549411282,0.479661098731006,0.445589466144206,0
"26",0.733429063365521,0.506851755695409,0,0.418498586545614,1.11171490125158,0
"27",0.00828043023920285,0.0257949435040599,0,0.0229684906945153,0.0361392652846724,0
"28",0.113332502140613,0.0798791578720791,0,0.140004935905659,0.412275667174734,0
"29",0.449609143978256,0.29042615686876,0,0.726503695268557,1.06366066598761,0
"30",0,0.300399861676035,0.366397261076876,0.690431617194745,0.635041250046146,0
"31",0.309354435467833,0.259185937184222,0,0.344620575224529,0.780379278566254,0
"32",0,0.21964010830381,0.311980423603861,0.461132825507117,0.652332661683837,0
"33",0.208263588521307,0.212295919369762,0,0.590815010063937,1.08701631687362,0
"34",0.0689239715012799,0.492411777148627,0.11270183521343,0.551793312459665,0,0
"35",0.0386940538634857,0.333195832468355,0,0.360806333596893,0.173295848437838,0
"36",0,0.866742127542269,0.243043498002801,0.302109571866907,0.852451993080333,0
"37",0.0586549340920973,0.0479895057100159,0,0.139090249099225,0.141363742745554,0
"38",0.284636879298558,0.195167623105572,0.00817787282130601,0.166719408534872,0,0
"39",0.0938504649066904,0.0654471569175051,0,0.072120579141041,0.343591735252183,0
"40",0,0.159346515777975,0.21872313174407,0.26578505718352,0.463263859340978,0
"41",0.0550687332209608,0.0751896481340466,0,0.0736170191714142,0.219481689116432,0
"42",0,0.500193565981866,0.369464109157273,0.510907547596974,0.444477804344116,0
"43",0.105902718603101,0.126659985010079,0,0.126544317503159,0.217435307549451,0
"44",0.752255746839299,0.283974646852121,0,0.463458017353016,0.792253121477471,0
"45",0.37106783361197,0.27389544117369,0,0.0852111702798354,0.19837605107389,0
"46",0.965112531420455,0.389376993298683,0,0.412857532954605,1.17473538905794,0
"47",0.186882441065427,0.249286319487859,0,0.286247486540264,0.0825369931177339,0
"48",0.279554312273175,0.169474727584386,0,0.452358021734392,0.388125595848719,0
"49",0.0350604204006772,0.181637742878,0,0.323385181491466,0.24943779916838,0
