iteration
4
7
31
44
51
76
80
85
89
90
101
104
107
116
117
120
122
133
149
156
157
160
168
184
216
219
223
229
250
279
286
290
291
292
294
313
329
336
347
356
375
391
398
401
410
416
436
438
441
443
458
478
481
507
509
515
553
558
565
569
580
581
583
586
594
596
606
607
615
624
639
644
647
652
669
681
695
699
701
718
727
734
770
771
772
800
817
845
849
853
881
885
894
898
901
923
927
931
935
942
959
964
972
977
985
