dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std
4,0.19764470565124456,0.061899079998929504,0.5427191471609325,0.1120378742451207,0.5576573603843078,0.10122986592872599,0.406700262404,0.09400172662528307
10,0.16718635336699927,0.03737945925645336,0.5840932755378899,0.09598916035663357,0.5950798154114294,0.08583619632241142,0.44583134140985103,0.08062772433093683
50,0.20041162200057913,0.1966935348721234,0.5451442403205308,0.09624313215207642,0.5434714948970351,0.10509186215129705,0.41192002852604076,0.07766849410216117
100,0.3392656655424666,0.5782058277049341,0.15432464681782335,0.12023832402971801,0.09805204213100198,0.1349561184646399,0.12620791958704744,0.09805271805550102
