"","target_input.X0","target_input.X1","Y"
"0",2.9919686260252,4.74904825025553,0.445612146040683
"1",1.85320636857242,2.7371029009372,0.267550351565533
"2",0.518142603940952,1.11328527522552,0.0884622985788186
"3",0.295169454577341,0.634203412299888,0.0503941737729473
"4",0.283787845040695,0.609748796506592,0.0484509957106141
"5",1.96117039960208,4.21378614975648,0.334829910017033
"6",0.318053879568568,0.683373067875324,0.0543012233399604
"7",1.63577362935743,2.4159644722351,0.236159241106723
"8",2.13668160504421,4.59089090657371,0.364794874375608
"9",1.42870985761763,2.29357031175195,0.213855236943218
"10",1.03038208339603,1.82916525712012,0.161475168123496
"11",0.410045877998966,0.881027799434131,0.070006983820022
"12",0.142203544720381,0.305539654948188,0.0242783595410624
"13",2.6371110753809,4.73346011060717,0.415422819411381
"14",3.94217679999792,7.54692999999601,0.640496713214354
"15",1.27485470877952,1.88290337268908,0.184052802382547
"16",1.18097354739005,2.30640524708749,0.193481711548375
"17",6.11104629999764,9.02574199999652,0.88226147596132
"18",1.47907912364971,2.18453369722438,0.21353700604351
"19",0.574140783419883,0.847980252223869,0.0828896182622295
"20",0.773627299089677,1.58086149423711,0.129212745306058
"21",0.463681504061156,0.964776151424439,0.078053865504268
"22",2.47479034352956,5.31735400209581,0.422520056494405
"23",0.844411886355645,1.72971608365789,0.141183766637535
"24",3.30876878844363,5.18648278340651,0.490088475722488
"25",3.56151400000036,7.65229700000078,0.608055991660124
"26",2.21425714661944,4.75757032551451,0.378039318412917
"27",0.0655028201630423,0.140739874734506,0.0111832726954799
"28",0.634645771277283,1.20317160661363,0.102624497836023
"29",1.33175696198592,2.86142348589222,0.227370382418976
"30",2.65127294234002,3.91581152791166,0.38276849240794
"31",0.882603650415806,1.89636914701611,0.150686600669371
"32",1.0976326131115,1.62115426563372,0.158466966500876
"33",1.72935175174767,3.68297909589665,0.294098060659977
"34",2.59279779674855,4.18502835354767,0.389039934574021
"35",5.49985425915971,8.12303869809932,0.794022708723426
"36",3.19374149179783,5.75040386449972,0.503846104245751
"37",0.247122212986569,0.53096873101453,0.0421910856671565
"38",1.92119955662491,3.06247060345856,0.286674604872575
"39",1.16815045370047,1.8850323843239,0.175257042984645
"40",0.845723216121474,1.24909535575318,0.122098406112612
"41",0.321628247776245,0.649616350343999,0.053450621152213
"42",2.03275891168218,3.75913399172234,0.324789845131496
"43",0.416776254162339,0.895488738608835,0.0711560584978881
"44",2.16071021692427,3.9449607952112,0.343131970933846
"45",1.73362732798183,3.00954816113194,0.268868067617087
"46",2.97059124772988,5.73623998732446,0.484379216420108
"47",1.20241476798286,2.09058893800031,0.186615484431906
"48",0.904240190210791,1.94285758664137,0.154380599250068
"49",1.37982046243645,2.465855465926,0.216913832153005
