dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,3,0.25499633685796796,0.057771058835402615,0.06639255082339521,0.1447282042438396,0.07349110394472591,0.14185455281292383,0.04648525893171452,0.10073072062998095,10.458,2.8653876607618813,0.20915999999999998,0.057307753215237595,50.0,0.0,0,0
ten_percent,5,0.1310066132443105,0.02354414015893557,0.06121960801828499,0.14299687778452927,0.05845715055285294,0.14452761161360084,0.04400994271610642,0.1023042101263003,19.663,3.711766184474472,0.39326,0.07423532368948949,50.0,0.0,0,0
sqrt,7,0.08967497148066829,0.012027271873441636,0.04976308066416313,0.1442289688759022,0.04197562520162505,0.14467594618647805,0.037210159013024546,0.10792824378346962,28.536,3.827708891145638,0.5708371428571429,0.07658814330156855,49.99,0.0995485304256664,0,0
half,25,0.07723873186775208,0.009860817193314839,-0.005055557352265169,0.14359101449545097,-0.004050403989761902,0.14704242381458305,-0.004239016226035041,0.11830705736150118,49.57,0.6584326340131786,0.9938840136054422,0.011038036627672552,49.875,0.3598673429258402,731,731
original,50,0.07671479208097748,0.009250404787513523,0.008723044466401023,0.1410318194269146,0.00936194956240009,0.1423734500923082,0.007208977512161257,0.1162877792551221,49.735,0.6581855423877129,0.9978713254450716,0.006503593007800761,49.841,0.5657199298584387,899,899
