dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,2,0.5017207640587938,0.10981423714912066,0.06969240317053935,0.23197147669513016,0.06227476168966399,0.23074797394304847,0.04844324625356837,0.16620708681533575,2.709,0.9061678322143979,0.13545,0.045308391610719874,20.0,0.0,0,0
ten_percent,2,0.5017207640587938,0.10981423714912066,0.06969240317053935,0.23197147669513016,0.06227476168966399,0.23074797394304847,0.04844324625356837,0.16620708681533575,2.709,0.9061678322143979,0.13545,0.045308391610719874,20.0,0.0,0,0
sqrt,4,0.3007309480533758,0.07466803304679157,0.08072504963069813,0.22759392797302486,0.08303684506215152,0.22695468129361962,0.058049469453637696,0.16542720245213977,6.067,1.7904515398962118,0.30335,0.08952257699481057,20.0,0.0,0,0
half,10,0.19489897265178543,0.0510819042458684,0.07888138707269866,0.22876330336224587,0.07170190957008428,0.2286346083971256,0.05923508778441823,0.17433180319306166,10.691,2.4325781460081477,0.5347763157894736,0.12156883245289572,19.991,0.09448771310560906,0,0
original,20,0.07801732970522499,0.01730576291666947,0.01575172678177552,0.2331626172769198,0.01995962393555749,0.23597589725330104,0.01324706406201887,0.19511334515473447,19.894,0.38328959144609076,0.9961421052631578,0.017138279322179664,19.971,0.16789040230813407,931,931
