dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,4,0.14763106022143632,0.03382961751158736,0.04883323691398495,0.2287815799847621,0.04308680415538895,0.22525342424054717,0.03705363312505571,0.1734062550625736,9.798,2.0384678931372324,0.48991578947368425,0.10189516593493235,19.999,0.03162277660168383,0,0
sqrt,10,0.07610052900948698,0.013164690836968525,0.019462487774103254,0.22820485594085346,0.015562534244790314,0.23261952973741232,0.015896322202110354,0.1881056359005657,17.992,1.1239213492051843,0.9,0.05598578968697337,19.991,0.0944877131056084,78,78
ten_percent,10,0.07610052900948698,0.013164690836968525,0.019462487774103254,0.22820485594085346,0.015562534244790314,0.23261952973741232,0.015896322202110354,0.1881056359005657,17.992,1.1239213492051843,0.9,0.05598578968697337,19.991,0.0944877131056084,78,78
half,18,0.07647704141041334,0.013762647916053906,0.05000872426384043,0.23969238255875802,0.049473881963623456,0.24496140166584351,0.04170158308438763,0.20031892166311288,19.87,0.3510316555856795,0.9936947368421053,0.017060917255889114,19.996,0.06315051850925653,877,877
original,100,0.07587569802979972,0.012471811170114932,,,,,,,19.945,0.2757735503108503,1.0,0.0,19.945,0.2757735503108503,1000,1000
