dim_reduction_level,dims,mae_mean,mae_std,spearmanr_mean,spearmanr_std,pearsonr_mean,pearsonr_std,kendalltau_mean,kendalltau_std,nr_efficient_mean,nr_efficient_std,prop_efficient_mean,prop_efficient_std,nr_non_nan_mean,nr_non_nan_std,spearmanr_warning_count,kendalltau_warning_count
log,3,0.4753984303012866,0.059967670283771694,0.08596475875890437,0.09723534830084413,0.09236761719003778,0.09500758497060298,0.05811860246742446,0.06606175935979772,6.557,1.9592318876512775,0.06557,0.01959231887651278,100.0,0.0,0,0
ten_percent,5,0.3708462853748052,0.04330234523064111,0.08867049051719654,0.09707460226939313,0.09506568227545317,0.09579912975974852,0.06031928365908142,0.06630206452824604,13.758,3.3622523315094495,0.13758636363636365,0.033628645653973194,99.996,0.06315051850925729,0,0
sqrt,7,0.3190795940668654,0.0354504037488303,0.08943233199602402,0.09756222268667379,0.09291326582459684,0.09631903917184588,0.06128863112191851,0.06717531214086185,20.775,4.35997527336846,0.20780454545454546,0.043615468960806626,99.974,0.15921478998305652,0,0
half,25,0.2539325340208014,0.03056580065662166,0.06196397985712699,0.10049531873745157,0.06091148292715289,0.10127618842755387,0.044979909589005704,0.07330454509669863,46.114,5.296135671699984,0.4993543768689122,0.055487693376953126,92.342,2.533664432290794,0,0
original,50,0.08938814854849561,0.01370998257410131,-0.000997055825630438,0.09878323115325774,-0.001505540498321116,0.10045336263073416,-0.0008100707309439363,0.08086850946448433,96.505,2.0814195413965213,0.978504215114472,0.017108329136126907,98.624,1.1670415528103466,134,134
